Beds,Baths,SquareFeet,AcreLots,SqFtLots,Price
3,2,2010,,9630,639900
3,1.5,1435,,9139,539900
4,2,1784,0.27,,399900
4,2.5,2094,,4718,715000
4,3,2869,0.92,,899000
3,1.5,1470,,5733,375000
3,2,1647,,4145,750000
4,3.5,3840,1.38,,975000
4,2,1912,,3400,769900
3,3,1735,0.32,,985000
4,2,1631,,2740,545000
3,1.5,1439,0.85,,499900
2,2,1020,0.92,,239900
2,1,1177,,,459900
2,2,1382,,,779999
2,1,968,0.26,,325000
3,1.5,2370,,6098,575000
5,4,2500,,7341,989000
3,1,1400,0.31,,495000
4,2,1498,,4356,425000
3,1.5,1095,,3781,489900
2,1,840,,,619000
5,3.5,2664,,4800,799000
5,7.5,13000,7.33,,9995000
5,2,1876,,4250,359900
2,1,678,,,399900
3,2.5,1720,0.23,,898000
3,2,2000,,,649000
3,2,2112,0.55,,739000
2,2.5,1980,,,710000
3,2,1494,,7500,829000
4,2.5,2404,0.24,,845000
2,2,1450,,,625000
4,4.5,3273,0.32,,1375000
5,3,3354,1.41,,989000
5,2.5,2639,,4198,799000
3,2.5,2701,,,950000
2,1,731,,,399000
6,3,3483,,4084,1100000
4,3,3128,,9252,1050000
4,2,2982,0.37,,1150000
2,1,729,,,380000
